idx,timestamp,acc,prec_attack,recl_attack,prec_normal,recl_normal,f1,lb,timest,qnt
1,1691151387,6.92700180623414e-310,8.7884e-320,3.58960396e-316,4.451115154e-315,4.58937508e-315,3.60048936e-316,4.0282814e-316,4.591329216e-315,4.59299405e-315
10001,1691151387,0.9988249706242656,0.9988249706242656,1.0,0.0,0.0,0.9994121399357107,0.9987,15.173455476760864,10000.0
20001,1691151387,0.9987749693742344,0.9987749693742344,1.0,0.0,0.0,0.9993871092821675,0.9993,24.12401032447815,20000.0
30001,1691151387,0.99879996999925,0.99879996999925,1.0,0.0,0.0,0.9993996247654785,0.9994,33.672271728515625,30000.0
40001,1691151387,0.99879996999925,0.99879996999925,1.0,0.0,0.0,0.9993996247654785,0.9994,42.47207999229431,40000.0
50001,1691151387,0.9993499837495937,0.9993499837495937,1.0,0.0,0.0,0.9996748862101735,0.9972,51.91737985610962,50000.0
60001,1691151387,0.9995249881247031,0.9995249881247031,1.0,0.0,0.0,0.9997624376398805,0.9991,60.104089975357056,60000.0
70001,1691151387,0.9938498462461561,0.9938498462461561,1.0,0.0,0.0,0.9969154378573577,0.9995,68.97515273094177,70000.0
80001,1691151387,0.9873496837420935,0.9873496837420935,1.0,0.0,0.0,0.9936345795803351,0.9994,77.95144033432007,80000.0
90001,1691151387,0.9811245281132028,0.9811245281132028,1.0,0.0,0.0,0.9904723445604028,0.9994,87.18935179710388,90000.0
100001,1691151387,0.9752993824845622,0.9752993824845622,1.0,0.0,0.0,0.9874952537653462,0.9998,96.09608006477356,100000.0
110001,1691151387,0.9950748768719218,0.9951261833677818,0.9998461696236284,0.9925925925925926,0.8080402010050252,0.9974805928919469,0.9768,107.87415814399719,110000.0
120001,1691151387,0.9943998599964999,0.9965470496457529,0.9977209290415098,0.9013303769401331,0.8575949367088608,0.997133643855249,0.9734,117.92721033096313,120000.0
130001,1691151387,0.9959748993724843,0.9968585585125402,0.9990273618469887,0.9550295857988166,0.867741935483871,0.9979417818288738,0.9745,127.9424979686737,130000.0
140001,1691151387,0.9968749218730468,0.996910349053954,0.9998975567279619,0.9952153110047847,0.8730325288562435,0.9984017184722986,0.9765,138.5914008617401,140000.0
150001,1691151387,0.9970499262481562,0.9971391350992362,0.9998463232845837,0.9929411764705882,0.8828451882845189,0.9984908942091263,0.9761,149.4415991306305,150000.0
160001,1691151387,0.996999924998125,0.9970617542604563,0.9998718901329781,0.9941860465116279,0.8814432989690721,0.9984648449493398,0.9781,160.11856627464294,160000.0
170001,1691151387,0.978049451236281,0.9972778181063984,0.9803007135575943,0.4583041345480028,0.8616600790513834,0.9887163933583508,0.9763,170.76160264015198,170000.0
180001,1691151387,0.9730243256081402,0.9977961575358448,0.9748214195247986,0.3048951048951049,0.836852207293666,0.9861749971171218,0.9742,181.7694592475891,180000.0
190001,1691151387,0.9555488887222181,0.9955339550768423,0.9592942308179125,0.16856256463288521,0.657258064516129,0.9770781765676568,0.9758,192.59619545936584,190000.0
200001,1691151387,0.9457486437160929,0.9858690780627982,0.9581336954572242,0.20986460348162475,0.44742268041237115,0.9718035343035343,0.9767,203.58927512168884,200000.0
210001,1691151387,0.958023950598765,0.9579587850865112,1.0,1.0,0.035611717403790925,0.978528038877166,0.9974,213.3986051082611,210000.0
220001,1691151387,0.9226730668266707,0.9226730668266707,1.0,0.0,0.0,0.9597815486639361,0.998,223.24230647087097,220000.0
230001,1691151387,0.9730993274831871,0.9944795385883,0.9764049185632618,0.7561994984675398,0.9310463121783876,0.9853593490625085,0.9782,234.4321882724762,230000.0
240001,1691151387,0.9803745093627341,0.9856361149110807,0.9936613181275693,0.879718168092602,0.7619877942458587,0.9896324471386875,0.9294,244.99873328208923,240000.0
250001,1691151387,0.9881247031175779,0.9910047302711505,0.9966983829875734,0.9032012195121951,0.7729941291585127,0.9938434020712091,0.9202,257.0010290145874,250000.0
260001,1691151387,0.9965749143728593,0.9970680365868939,0.9994975884244373,0.7872340425531915,0.387434554973822,0.9982813342867538,0.8629,269.8518736362457,260000.0
270001,1691151387,0.9534988374709368,0.9534988374709368,1.0,0.0,0.0,0.9761959609920909,0.996,281.52792048454285,270000.0
280001,1691151387,0.9489487237180929,0.949177166044636,0.9996570554251194,0.8289473684210527,0.03011472275334608,0.9737633303353462,0.9915,292.08119082450867,280000.0
290001,1691151387,0.9423735593389835,0.9424281918893178,0.9997872849583876,0.9207920792079208,0.03891213389121339,0.9702607506418777,0.9964,302.25864696502686,290000.0
300001,1691151387,0.9345483637090928,0.9345543835032948,0.9998391636509851,0.9318181818181818,0.030438010393466965,0.9660951098217986,0.9969,313.2719495296478,300000.0
310001,1691151387,0.9992999824995625,0.9993542054143418,0.9999224605841303,0.9976689976689976,0.9809014514896868,0.9996382522415442,0.8292,323.5679976940155,310000.0
320001,1691151387,0.9992999824995625,0.9994062830739049,0.9998708711035356,0.996031746031746,0.9820031298904538,0.9996385231087013,0.9683,333.70472598075867,320000.0
330001,1691151387,0.9995749893747343,0.9997161436829067,0.9998451493018814,0.9951884522854851,0.9912140575079872,0.9997806423308688,0.9666,344.5885696411133,330000.0
340001,1691151387,0.9996499912497813,0.9996648966335,0.9999742148419369,0.9991701244813278,0.9893179950698439,0.999819531813963,0.9666,355.7505705356598,340000.0
350001,1691151387,0.9826745668641717,0.9842027444164873,0.9977909851154473,0.9419889502762431,0.6913329954384186,0.9909502853337163,0.9676,366.6972703933716,350000.0
